Song_Name,Matched_Name,Ratio_Value,Song_List_Index
faith,wraith,73,8704
need you tonight,need you tonight,100,674
got my mind set on you,my friends over you,63,14102
never gonna give you up,never gonna give you up,100,790
sweet child o mine,sweet child o mine,100,541
so emotional,emotion,74,4315
heaven is a place on earth,heaven is a place on earth,100,2259
couldve been,could have been me,80,14813
hands to heaven,had to hear,77,9497
roll with it,roll with it,100,15447
one more try,one more time,80,5708
wishing well,wishing well,100,12233
anything for you,waiting for you,84,3099
the flame,the flame,100,632
get outta my dreams get into my car,the system only dreams in total darkness,53,5794
seasons change,sea change,83,14982
is this love,is this love,100,2136
wild wild west,wild wild west,100,9126
pour some sugar on me,pour some sugar on me  remastered 2017,71,516
ill always love you,i will always love you,93,10859
man in the mirror,ghost in the mirror,78,14974
shake your love,all your love,79,3131
simply irresistible,impossible,62,13847
hold on to the nights,soul of the night,74,6797
hungry eyes,hungry heart,70,782
shattered dreams,safe dream,69,3271
father figure,the fire,76,6782
naughty girls need love too,girls need love,71,3170
a groovy kind of love,a fool in love,69,3852
love bites,love wins,74,1198
endless summer nights,summer nights,76,4363
foolish beat,foolish beat,100,616
where do broken hearts go,edge of a broken heart,72,567
angel,angels,91,2464
a hazy shade of winter,a whiter shade of pale,64,2091
the way you make me feel,how your love makes me feel,75,5523
dont worry be happy,dont worry be happy,100,8508
make me lose control,take me home country roads,70,5293
red red wine,red red wine,100,2304
shes like the wind,dust in the wind,71,356
bad medicine,bad medicine,100,524
kokomo,ko ko bop,67,6698
i dont wanna go on with you like that,i only wanna be with you,66,14021
together forever,together,67,7915
monkey,money,91,6479
devil inside,deep inside,78,5726
shouldve known better,know no better,69,9986
i dont wanna live without your love,i only wanna be with you,71,14021
the locomotion,the locomotion,100,17280
what have i done to deserve this,what have you done,60,8782
make it real,take it all,78,12874
whats on your mind pure energy,why dont you spend the night,59,5374
tell it to my heart,hurts me to my heart,72,16748
out of the blue,dust on the bottle,73,5511
dont you want me,dont you want me,100,1371
desire,desire,100,694
i get weak,mi gente,67,213
sign your name,in your arms,77,6144
i want to be your man,i wanna be your dog,70,345
girlfriend,girlfriend,100,177
dirty diana,dirty vibe,67,6350
123,123,100,4718
mercedes boy,mercedes boy,100,9259
perfect world,perfect for me,74,4784
new sensation,new sensation,100,759
catch me im falling,timber im falling,78,5144
if it isnt love,if it aint love,93,8840
rocket 2 u,back 2 u,67,15594
one good woman,the good man,77,4396
dont be cruel,dont be cruel,100,5051
candle in the wind,candle in the wind,100,16988
everything your heart desires,everything you want,71,1011
say you will,wish you well,72,15828
i want her,want her,89,8677
pink cadillac,pina colada,67,9836
fast car,fast car,100,354
electric blue,electric love,85,6432
the valley road,the lonely road,80,13353
dont be cruel,dont be cruel,100,5051
always on my mind,all on my mind,84,16369
piano in the dark,rainbow in the dark,83,522
when its love,when its over,92,16713
dont shed a tear,shed a tear,81,4731
well be together,better together,71,1375
i hate myself for loving you,i hate myself for loving you,100,569
i dont want to live without you,i dont want to change you,71,3298
nite and day,once a day,73,5174
dont you know what the night can do,lets see what the night can do,74,6513
one moment in time,moment in time,88,17708
cant stay away from you,blues stay away from me,70,5110
kissing a fool,missing my idols,67,3514
cherry bomb,cherry bomb,100,2799
i still believe,im still believing,85,18214
i found someone,if you need someone,82,6065
never tear us apart,love will tear us apart,76,1392
valerie,valentine,75,4319
just like paradise,just like paradise,100,607
nothin but a good time,nothing to me,63,1837
wait,wait,100,562
prove your love,for your love,79,327
look away,walk away,78,4399
my prerogative,my beloved,58,3261
every rose has its thorn,every rose has its thorn  remastered 2003,74,531
straight up,straight flush,80,7956
miss you much,its too much,72,18582
cold hearted,coldhearted,96,9965
wind beneath my wings,the wind beneath my wings,91,5385
girl you know its true,like you knew it,63,13377
baby i love your wayfreebird medley,baby i love your way,73,404
giving you the best that i got,giving up the gun,60,9492
right here waiting,right here waiting,100,656
waiting for a star to fall,waiting for the world to end,67,9372
lost in your eyes,in your eyes,83,789
dont wanna lose you,dont wanna be your girl,76,5979
heaven,heaven,100,574
girl im gonna miss you,like im gonna lose you,73,3289
the look,the look,100,2327
she drives me crazy,she drives me crazy,100,2317
on our own,on your own,95,14984
two hearts,no heart,78,10719
blame it on the rain,calmness in the rain,75,4861
listen to your heart,listen to your heart,100,641
ill be there for you,ill be there for you,100,17270
if you dont know me by now,you dont know me  radio edit,70,13919
like a prayer,livin on a prayer,73,540
ill be loving you forever,ill be loving you forever,100,626
how can i fall,how can i forget,73,1163
baby dont forget my number,baby one more time,64,2344
toy soldiers,soldiers,80,12912
forever your girl,forever girl,83,4912
the living years,the avengers,71,18060
eternal flame,eternal flame,100,659
wild thing,wild thing,100,334
when i see you smile,when i see you smile,100,622
if i could turn back time,if i could turn back time,100,15950
buffalo stance,buffalo stance,100,2895
when im with you,when im with him,81,10604
dont rush me,dont hurt me,75,8646
born to be my baby,be my baby,71,2051
good thing,good thing,100,12294
the lover in me,the love i lost,73,3828
bust a move,bust a move,100,9072
once bitten twice shy,once bitten twice shy,100,534
batdance,balance,80,4105
rock on,rockin’,77,8639
real love,real love,100,5393
love shack,loneshark,74,1654
every little step,every light in the house,68,5450
hangin tough,hangin on,76,8866
my heart cant tell you no,my hearts always yours,64,9690
so alive,stay alive,78,9532
you got it the right stuff,you got it the right stuff,100,781
armageddon it,jam on it,64,9083
satisfied,sanctified,84,17573
express yourself,express yourself  remix,82,9070
i like it,i like it,100,86
soldier of love,glory of love,71,643
sowing the seeds of love,stop in the name of love,75,6867
cherish,crash,67,2864
when the children cry,enjoy the silence,63,2357
18 and life,18 and life,100,553
i dont want your love,i dont want to be,79,192
second chance,sea change,70,14982
the way you love me,hate the way you love me,88,18755
funky cold medina,you could be mine,59,4006
in your room,in your room,100,12731
miss you like crazy,missin you crazy,80,8711
lovesong,love song,94,157
secret rendezvous,secret preference,65,6738
angel eyes,angels,75,2464
patience,patient,80,3320
walk on water,walk out to winter,71,2923
cover girl,forever girl,82,4912
welcome to the jungle,welcome to the jungle,100,530
shower me with your love,how deep is your love,71,13160
stand,sands,80,10757
close my eyes forever,close my eyes forever,100,529
all this time,this time,82,5261
after all,after all,100,1182
roni,ironic,80,1059
love in an elevator,lost in translation,63,18728
lay your hands on me,lady you shot me,72,14703
the promise,the promise,100,3324
what i am,what id say,80,5358
i remember holding you,i remember you,78,572
paradise city,paradise city,100,512
i wanna have some fun,i wanna be somebody,70,561
she wants to dance with me,dance with me,67,9476
dreamin,dreaming,93,4808
its no crime,its time,70,6924
poison,poison,100,558
this time i know its for real,the time is now john cena,63,9713
smooth criminal,smooth criminal,100,12
heaven help me,heaven to me,77,4245
rock witcha,rockit,71,9082
thinking of you,thinking about you,85,13771
what you dont know,what you dont do,88,14681
surrender to me,surrender,75,2924
the end of the innocence,the end of the world,73,5175
keep on movin,keep on going,85,16622
hold on,hold on,100,5782
it must have been love,let there be love,67,10414
nothing compares 2 u,nothing compares 2 u,100,2387
poison,poison,100,558
vogue,vogue,100,2428
vision of love,livin on love,74,5512
another day in paradise,another place  radio edit,67,5729
hold on,hold on,100,5782
cradle of love,chapel of love,79,2099
blaze of glory,hate or glory,74,17551
do me,rid of me,71,6067
how am i supposed to live without you,how am i supposed to live without you,100,661
pump up the jam,pump up the jam,100,2399
opposites attract,opposite of adults,63,8812
escapade,escape,86,17356
all i wanna do is make love to you,i just want to make love to you,74,3822
close to you,close to you,100,2416
black velvet,black velvet,100,2276
release me,release,82,11541
dont know much,dont know why,81,1953
all around the world,around the world,89,3008
i wanna be rich,i wanna be your dog,71,345
rub you the right way,rage the night away,70,17575
she aint worth it,he aint worth missing,79,5492
if wishes came true,miss me more,58,8886
the power,the joker,78,454
cant live without your love and affection,love and affection,61,7814
love will lead you back,love will tear us apart,70,1392
dont wanna fall in love,dont wanna fall in love,100,18105
two to make it right,make it right,79,3045
sending all my love,grinding all my life,77,18520
unskinny bop,skinny love,70,2527
step by step,step by step,100,2386
dangerous,dangerous,100,7725
we didnt start the fire,we didnt start the fire,100,8136
i dont have the heart,dont fear the reaper,68,459
downtown train,dont try,64,18145
rhythm nation,youth of the nation,62,45
ill be your everything,give me everything,70,153
roam,roam,100,18454
everything,everything,100,14278
back to life however do you want me,whatever you want,58,3564
here and now,be here now,70,13191
alright,alright,100,111
ice ice baby,ice ice baby,100,2403
blame it on the rain,calmness in the rain,75,4861
have you seen her,have you ever,80,18357
with every beat of my heart,piece of my heart,68,2111
come back to me,come back to me,100,6424
no more lies,no me platiques,74,3893
praying for time,asking for it,69,12907
how can we be lovers,why cant this be love,68,580
do you remember,do you remember,100,3287
ready or not,ready or not,100,9144
u cant touch this,u cant touch this,100,884
i wish it would rain down,what would you do,62,12993
just between you and me,just between you and me,100,5191
something happened on the way to heaven,something about the way hot or not,68,12618
black cat,black cat,100,14161
cant stop,cant stop,100,13
janies got a gun,ive got a woman,65,1979
the humpty dance,the humpty dance,100,854
ill be your shelter,ill take you there,70,6856
free fallin,free fallin,100,350
giving you the benefit,giving up the gun,72,9492
enjoy the silence,enjoy the silence,100,2357
love song,love song,100,157
price of love,chapel of love,74,2099
girls nite out,girl like you,74,8885
king of wishful thinking,king of anything,65,18347
what kind of man would i be,waiting for the world to end,58,9372
i remember you,i remember you,100,572
get up before the night is over,when the night is over,72,16212
here we are,where u are,82,13441
epic,epic,100,758
love takes time,love like mine,69,14788
just like jesse james,just the same,65,7889
love shack,loneshark,74,1654
all or nothing,all or nothing,100,1620
romeo,como,67,91
everybody everybody,everybody loves you,74,13118
i go to extremes,too good to be true,63,8398
whip appeal,disappear,60,16604
oh girl,hey girl,80,10139
cmon and get my love,come and get your love,81,2201
its just the way that you love me,hate the way you love me,74,18755
we cant go wrong,we cant be friends,65,5992
when im back on my feet again,whats my age again,60,1013
make you sweat,make you smile,79,1208
this ones for the children,song to the siren,65,2927
what it takes,whatever it takes,87,15739
forever,forever,100,3689
jerk out,jerk it out,84,23
just a friend,just a friend,100,894
whole wide world,wide world,77,3217
without you,without you,100,15224
swing the mood,swingtheory,72,14340
thieves in the temple,the less i know the better,64,2577
mentirosa,es mentiroso,76,3800
tictactoe,tic toc,62,13780
everything i do i do it for you,every time i look for you,71,14862
i wanna sex you up,i wanna be your dog,76,345
gonna make you sweat everybody dance now,wake up everybody,53,3756
rush rush,uh uh,71,7480
one more try,one more time,80,5708
unbelievable,unbelievable,100,1037
more than words,more than words,100,349
i like the way the kissing game,the way things are,65,14975
the first time,for the first time,88,176
baby baby,baby boy,82,170
motownphilly,moon child,64,6722
because i love you the postman song,because i love you,68,17012
someday,somebody,80,8365
high enough,high enough,100,582
from a distance,waves from a distance,83,4171
all the man that i need,the hand that feeds,71,12914
right here right now,right here right now,100,1027
i adore mi amor,oye mi amor,77,240
love will never do without you,cant do without you,65,2582
good vibrations,good vibrations,100,8112
justify my love,best of my love,73,3827
emotions,emotion,93,4315
joyride,ride,73,11353
romantic,ironic,71,1059
hold you tight,need you tonight,73,674
i dont wanna cry,don’t wanna try,84,14691
youre in love,youre in love,100,537
every heartbeat,with every heartbeat,86,15243
sensitivity,sentiment,60,13300
touch me all night long,you shook me all night long,84,601
ive been thinking about you,thinking about you,80,13771
do anything,do my ting,76,8036
losing my religion,losing my religion,100,941
coming out of the dark,out of the darkness,73,5805
here we go,whered u go,76,15187
it aint over til its over,i aint never  single version,64,5089
where does my heart beat now,why does my heart feel so bad,67,10695
summertime,summertime,100,9156
wind of change,wind of change,100,611
passion,pain,73,4569
the promise of a new day,the rise of hannibal,68,6638
im your baby tonight,ruin your night,69,6718
love of a lifetime,lover of the light,67,1567
fading like a flower every time you leave,walking the floor over you  1941 edit,54,4989
this house,this one,78,3516
hole hearted,coldhearted,78,9965
power of lovelove power,the power of love,65,2251
impulsive,simple,67,8860
love is a wonderful thing,life is confusing,62,1548
rhythm of my heart,hurts me to my heart,74,16748
things that make you go hmmm,i cant make you love me,63,1401
i touch myself,all to myself,74,11976
toms diner,toms diner,100,389
iesha,piensa,73,11185
something to talk about,something about you,71,3543
after the rain,after rain,83,1471
play that funky music,lay it on me  acoustic,60,1479
temptation,expectations,73,6745
cant stop this thing we started,dont stop the party,60,10300
i cant wait another minute,i cant breathe blues,61,18039
3 am eternal,amor eterno,70,233
time love and tenderness,time to wander,63,18579
sadeness part i,adieu pt ii,62,10826
around the way girl,around the way girl,100,886
ill be there,ill be there,100,7847
cream,cream,100,9149
now that we found love,now that we found love,100,911
show me the way,show me the way,100,4022
love takes time,love like mine,69,14788
cry for help,cry out for me,69,9617
the way you do the things you do,the way you do the things you do,100,3849
here i am come and take me,here comes the boom,62,1609
signs,signal,73,3293
too many walls,too many colors,76,12282
crazy,crazy,100,1562
ill give all my love to you,i will always love you,65,10859
place in this world,no place in mind,63,1518
something to believe in,something just like this,72,11381
wicked game,wicked games,96,2442
get here,greet her,82,15504
round and round,round and round,100,549
silent lucidity,sin city,70,9324
im not in love,im in love,83,9267
piece of my heart,piece of my heart,100,2111
real real real,realer n realer,69,12753
just another dream,just another day,88,10133
everybody plays the fool,everybody loves you,65,13118
strike it up,rake it up,82,18492
rico suave,suave,67,6956
disappear,disappear,100,16604
groove is in the heart,groove is in the heart,100,2408
all this time,this time,82,5261
the one and only,the one and only,100,13008
opp,opp,100,881
freedom 90,freedom,82,10511
i saw red,ida red,75,5023
miles away,miles away,100,1544
do you want me,dont you want me,93,1371
the motown song,the moon song,93,15262
shiny happy people,ordinary people,67,1900
end of the road,on the road,77,1831
baby got back,baby got back,100,879
jump,jump,100,543
save the best for last,she got the best of me,64,8872
babybabybaby,baby boy,60,170
tears in heaven,tears in heaven,100,10861
my lovin youre never gonna get it,if youre never gonna move,72,2616
under the bridge,under the bridge,100,917
all 4 love,all for love,82,11897
just another day,just another day,100,10133
i love your smile,i love you so,80,6811
to be with you,one with you,85,6612
im too sexy,im too sexy,100,2409
black or white,black and white town,71,2521
achy breaky heart,lies are breaking my heart,65,2739
ill be there,ill be there,100,7847
november rain,november rain,100,1113
life is a highway,life is a highway,100,1076
remember the time,remember we die,81,1656
finally,finally,100,5377
this used to be my playground,this is the day,55,2885
sometimes love just aint enough,just cant get enough,59,2291
cant let go,cant let you go,85,17910
jump around,jump around,100,856
diamonds and pearls,death by diamonds and pearls,81,9483
dont let the sun go down on me,dont let it get you down,67,16250
masterpiece,painting masterpiece,71,15660
if you asked me to,if you need someone,70,6065
giving him something he can feel,something in general,58,3625
live and learn,fire and rain,67,470
come and talk to me,come back to me,76,6424
smells like teen spirit,smells like teen spirit,100,1089
humpin around,jump around,83,856
damn i wish i was your lover,damn i wish i was your lover,100,2400
tell me what you want me to do,are you what you want to be,70,15721
aint 2 proud 2 beg,aint too proud to beg,82,3814
its so hard to say goodbye to yesterday,too good at goodbyes,51,15768
move this,moves,71,7386
bohemian rhapsody,bohemian rhapsody  remastered 2011,67,412
tennessee,tennessee waltz,75,2038
the best things in life are free,the way things are,60,14975
make it happen,make it back,69,17604
the one,the one,100,9369
set adrift on memory bliss,distant memories,57,16613
stay,stay,100,5830
2 legit 2 quit,i cant quit,56,18049
please dont go,please dont go,100,15825
breakin my heart pretty brown eyes,break your heart right back,59,13979
wishing on a star,livin on a prayer,65,540
shes playing hard to get,shes in parties,62,16702
id die without you,cant do without you,76,2582
good for me,good to me,86,3317
all i want,all i want,100,1003
when a man loves a woman,shes always a woman,65,16997
i cant dance,cant dance,91,12480
hazard,bazar,73,10373
mysterious ways,serious,64,3156
too funky,uptown funk,70,8515
how do you talk to an angel,how do you feel,62,3071
one,one,100,713
keep on walkin,keep on walking,97,1184
hold on my heart,open my heart,76,3760
the way i feel about you,what i like about you,67,802
beauty and the beast,it aint the meat,67,16766
warm it up,rip it up,74,6052
in the closet,one step closer,71,3422
people everyday,trouble every day,75,2751
no son of mine,any man of mine,76,5532
wildside,wild side,94,573
do i have to say the words,say the word,63,13593
friday im in love,friday im in love,100,1079
everything about you,everything about you,100,1083
blowing kisses in the wind,blowin in the wind,82,329
thought id died and gone to heaven,dirty deeds done dirt cheap,52,12906
rhythm is a dancer,rhythm is a dancer  7 edit,82,2394
addams groove,master groove,69,1668
missing you now,missing you,85,4238
back to the hotel,back to the hotel,100,4361
everything changes,everything passes,80,5924
have you ever needed someone so bad,have you ever seen the rain,65,2135
take this heart,save this heart,87,3219
when i look into your eyes,in your eyes,63,789
i wanna love you,i wanna go out,80,9665
uhh ahh,uh huh,62,6753
real love,real love,100,5393
justified and ancient,fire and rain,59,470
slow motion,smooth motion,75,11004
what about your friends,what about us,72,15833
thinkin back,snatching it back,69,6857
would i lie to you,would i lie to you,100,2349
thats what love is for,thats what i like,67,11367
keep coming back,no going back,69,3582
free your mind,be your man,72,3263
keep it comin,keep it jackin,81,6169
just take my heart,you are my heart,76,6881
i will remember you,i remember you,85,572
we got a love thang,its a love thing,74,9235
lets get rocked,lets get fcked up,81,15602
they want efx,the anthem,70,191
i cant make you love me,i cant make you love me,100,1401
i will always love you,i will always love you,100,10859
whoomp there it is,what is there to say,63,4473
cant help falling in love,can’t help falling in love,98,1354
thats the way love goes,hate the way you love me,77,18755
freak me,freak,77,10108
weak,weak,100,11335
if i ever fall in love,fall in love,71,17679
dreamlover,dream lover,95,1983
rump shaker,rump shaker,100,860
informer,informer,100,874
nuthin but a g thang,money aint a thang,63,896
in the still of the nite,in the still of the night,94,5843
dont walk away,walk away,78,4399
knockin da boots,knockin boots,90,898
lately,lately,100,4703
dazzey duks,dazed and confused,55,284
show me love,show me love,100,15157
a whole new world,whole new way,73,2553
if,if,100,1753
im so into you,into you,73,6675
love is,love wins,88,1198
runaway train,runaway train,100,1023
ill never get over you getting over me,over getting over you,61,15242
ditty,dirty,80,8439
rhythm is a dancer,rhythm is a dancer  7 edit,82,2394
the river of dreams,river of tears,73,10664
im gonna be 500 miles,im gonna be 500 miles,100,997
two princes,two princes,100,991
right here,right here,100,6701
i have nothing,i have something,87,11065
mr wendal,macarena,59,223
have i told you lately,have i told you lately,100,617
saving forever for you,forever for now,70,7269
ordinary world,ordinary world,100,1394
if i had no loot,if it aint love,65,8840
id do anything for love but i wont do that,id do anything for love but i wont do that  radio edit,88,8108
slam,slam,100,9214
looking through patient eyes,bomb through the breeze,59,14987
im every woman,im every woman,100,2174
baby im yours,baby im yours,100,14692
come undone,come down,80,4717
i dont wanna fight,don’t wanna try,73,14691
id die without you,cant do without you,76,2582
whoot there it is,what is there to say,70,4473
hip hop hooray,hip hop hooray,100,848
another sad love song,not a love song,83,7885
will you be there,ill be there,83,7847
comforter,uncomfortable,73,1637
good enough,had enough,76,8421
whats up,whats up,100,1019
all that she wants,all that she wants,100,2343
7,97,67,3519
dre day,dreary,77,16631
one last cry,one last dance,77,4011
just kickin it,lets kick it,69,3506
i get around,i get around,100,867
bed of roses,game of thrones,67,1791
real love,real love,100,5393
here we go again,here it goes again,82,13843
cryin,cryin,100,609
cats in the cradle,caught in the rain,72,14053
what about your friends,what about us,72,15833
i got a man,ive got a woman,85,1979
hey mr dj,hey ma,67,7404
insane in the brain,insane in the brain,100,878
deeper and deeper,breathing deeper,61,12319
rain,rain,100,6213
the right kind of love,the fightin side of me,73,5314
bad boys,bad boys,100,7294
thats what love can do,thats what i like,67,11367
do you believe in us,do you believe in magic,84,296
angel,angels,91,2464
forever in love,forever mine,81,14684
again,yet again,71,2611
boom shake the room,make some room,67,14682
when she cries,oh sherrie,67,831
sweat a la la la la long,sweat a la la la la long,100,11943
it was a good day,it was a good day,100,913
more and more,love no more,72,7174
how do you talk to an angel,how do you feel,62,3071
rebirth of slick cool like dat,rebirth of slick cool like dat,100,901
what is love,what is love,100,2395
to love somebody,to love somebody,100,2116
give it up turn it loose,move time to get loose,61,8186
alright,alright,100,111
check yo self,check yo self  remix,79,9143
fields of gold,fields of green,76,13384
ooh child,oh child,94,10192
faithful,faithfully,89,651
reason to believe,dont stop believin,69,597
break it down again,here it goes again,70,13843
nothin my love cant fix,to my love  tainy remix,65,14528
three little pigs,three little birds,86,1178
livin on the edge,living on the ceiling,79,2907
hey jealousy,hey jealousy,100,996
if i ever lose my faith in you,if i were you feat keith urban,60,6493
anniversary,universe,63,3988
one woman,money man,78,17187
cant get enough of your love,cant get enough of your love babe,92,2218
two steps behind,dont stop believin,59,597
the sign,the sign,100,2385
i swear,i wonder,67,7360
ill make love to you,i’ll make it up to you,76,9708
the power of love,the power of love,100,2251
hero,hero,100,2360
stay i missed you,that i miss you,81,3537
breathe again,breathin,76,1146
all for love,all for love,100,11897
all that she wants,all that she wants,100,2343
dont turn around,turn it around,73,14711
bump n grind,blue and green,62,11106
again,yet again,71,2611
ill remember,i remember,91,9624
whatta man,whatchu mean,73,18276
wild night,midnight,78,4499
without you  never forget you,never forget you,71,1199
you mean the world to me,woman of the world,67,1210
can you feel the love tonight,can you feel the love tonight,100,10873
the most beautiful girl in the world,the most beautiful girl,78,5279
fantastic voyage,fantasy,61,1743
baby i love your way,baby i love your way,100,404
regulate,regulate,100,910
if you go,let you go,74,17471
back  forth,back  forth,100,4275
now and forever,now or never,74,4350
when can i see you,when i see you smile,74,622
please forgive me,please dont give up on me,71,15288
so much in love,woke up in love,73,5337
shoop,shoop,100,2364
any time any place,no other place,62,10547
shine,shine,100,1053
said i loved youbut i lied,i loved you but i will never know,64,11103
return to innocence,run to me,57,1189
all i wanna do,all i want,75,1003
mmm mmm mmm mmm,mmm mmm mmm mmm,100,1050
can we talk,let em talk,64,12251
funkdafied,funkdafied,100,914
id do anything for love but i wont do that,id do anything for love but i wont do that  radio edit,88,8108
gangsta lean,gangsta nation,77,9176
because the night,because the night,100,6023
cantaloop flip fantasia,way too fly feat davido,57,15498
whoomp there it is,what is there to say,63,4473
come to my window,come with me now,73,6277
stroke you up,shake your rump,71,9120
im ready,ready,77,6202
100 pure love,your love,64,791
anytime you need a friend,before you get a boyfriend,63,8783
because of love,because of you,83,189
linger,linger,100,1058
loser,loser,100,939
found out about you,song about you,73,6509
gin and juice,racism and injustice,67,3720
never lie,never ever,74,12289
streets of philadelphia,streets of aberdeen,67,4925
getto jam,give it to me,64,3579
endless love,restless love,80,11531
i miss you,i miss you,100,16
understanding,outstanding,75,11823
this dj,this dj,100,9305
cry for you,sucker for you,80,8376
keep ya head up,keep your head up,88,8322
whats my name,thats my jam,80,1642
another night,of the night,80,9425
your bodys callin,your body is a wonderland,67,197
tootsee roll,to the threshold,57,6642
i can see clearly now,i can see clearly now  edit,88,6846
never keeping secrets,never going home,59,13922
crazy,crazy,100,1562
just kickin it,lets kick it,69,3506
at your best you are love,thats what you do when youre in love,62,5359
rock and roll dreams come through,rock ‘n’ roll star  remastered,57,2970
amazing,amazing,100,11626
always,always,100,3330
groove thang,good thing,73,12294
dreams,dreams,100,1190
mr vain,mr verano,75,10555
mary janes last dance,one last dance,74,4011
anything,nothing,80,9780
beautiful in my eyes,beautiful life,71,12284
stay,stay,100,5830
flava in ya ear,clavado en un bar,62,6941
unity,unity,100,864
prayer for the dying,race for the prize,68,3028
secret,secret,100,9387
here comes the hotstepper,here comes the hotstepper,100,2406
everyday,everyday,100,3389
dont take the girl,dont take the money,76,9657
got me waiting,dont keep me waiting,76,12346
december 1963 oh what a night,december 1963 oh what a night,100,8490
indian outlaw,indian outlaw,100,5499
always,always,100,3330
far behind,far behind,100,1070
back in the day,dance in the dark,75,10147
love sneakin up on you,wake up on you,67,8717
ill take you there,ill take you there,100,6856
always in my heart,always on time,69,17206
what is love,what is love,100,2395
and our feelings,hurt feelings,76,11559
bop gun one nation,youth of the nation,65,45
i wanna be down,i wanna be your dog,76,345
gangstas paradise,gangstas paradise,100,851
waterfalls,waterfalls,100,957
creep,creep,100,1101
kiss from a rose,kiss from a rose,100,2361
on bended knee,you never knew,57,9218
another night,of the night,80,9425
fantasy,fantasy,100,1743
take a bow,take a bow,100,15760
dont take it personal just one of dem days,dont leave me alone feat annemarie,53,11715
this is how we do it,this is how we do it,100,2402
i know,i know,100,6292
water runs dry,ted bundy,61,7941
freak like me,wolf like me,72,2541
runaround,runaround,100,1054
i can love you like that,need you like that,76,15826
have you ever really loved a woman,please never fall in love again,62,15285
always,always,100,3330
boombastic,automatic,63,13182
total eclipse of the heart,total eclipse of the heart,100,652
you gotta be,you got me,82,9207
you are not alone,youre not alone,94,3279
hold my hand,hold me now,70,822
one more chance,no more chances,87,15234
here comes the hotstepper,here comes the hotstepper,100,2406
candy rain,candy man,84,9231
let her cry,let her go,76,1555
i believe,believe,88,2415
red light special,red lights,74,15599
runaway,runaway,100,577
strong enough,high enough,67,582
colors of the wind,clash of the titans,70,8013
someone to love,somebody to love,84,293
only wanna be with you,i only wanna be with you,96,14021
if you love me,if youre over me,87,7843
in the house of stone and light,in the still of the night,71,5843
i got 5 on it,i got 5 on it,100,862
baby,baby,100,3276
run away,run away,100,6339
as i lay me down,lay it down,67,523
hes mine,hes fine,88,8353
december,september,71,1183
ill be there for youyoure all i need to get by,ill be there for youyoure all i need to get by,100,912
shy guy,my guy,77,6897
im the only one,im the only one,100,7806
every little thing i do,everything i got,72,12547
before i let you go,never let you go,74,5543
big poppa,big poppa,100,868
sukiyaki,sky walker,56,14638
i wanna be down,i wanna be your dog,76,345
ill make love to you,i’ll make it up to you,76,9708
dear mama,ay mama,75,1727
hold on,hold on,100,5782
keep their heads ringin,keep their heads ringin,100,849
the rhythm of the night,the rhythm of the night,100,2429
roll to me,roll to me,100,1043
scream,cream,91,9149
freekn you,fk you,75,1808
i wish,i wish,100,2381
believe,believe,100,2415
carnival,carnival,100,3010
you dont know how it feels,you dont know how it feels,100,1056
back for good,back for more,77,4018
tootsee roll,to the threshold,57,6642
you want this,you and i,73,5432
tell me,tell me,100,6763
cant you see,can’t you see,96,14889
all i wanna do,all i want,75,1003
this lil game we play,the games we play,79,7334
come and get your love,come and get your love,100,2201
this aint a love song,not a love song,78,7885
secret,secret,100,9387
players anthem,players anthem,100,9203
feel me flow,feel me flow,100,9186
every day of the week,freak of the week,74,1085
the sweetest days,these days,74,2728
short dick man,shot down,61,2461
brokenhearted,broken heart,88,1636
no more i love yous,let me love you,71,145
you used to love me,you dont love me,80,14999
constantly,honestly,67,13758
hold me thrill me kiss me kill me,tell me tell me,54,15662
100 pure love,your love,64,791
ask of you,best of you,76,17
sugar hill,ms hill,71,9365
good,good,100,998
brown sugar,brown sugar,100,457
turn the beat around,turn it around,76,14711
til you do me right,let you be right,74,12428
1st of tha month,to the moon,67,4113
like the way i do,the way i do,83,16368
i live my life for you,i hate myself for loving you,64,569
dream about you,love that about you,71,8871
cotton eye joe,cotton eye joe,100,8089
thank you,thank you,100,2396
ill stand by you,stand by you,86,10078
i miss you,i miss you,100,16
give it 2 you,give it up,78,2290
best friend,best friend,100,2470
misery,misery,100,11032
cant stop lovin you,i cant stop loving you,93,5109
macarena bayside boys mix,arabeat  deep house remix,56,7042
one sweet day,ol sweet day,88,1543
because you loved me,cause you got me,78,18034
nobody knows,nobodyknows,96,10729
always be my baby,be my baby,74,2051
give me one reason,give me one reason,100,921
tha crossroads,tha crossroads,100,9172
i love you always forever,close my eyes forever,70,529
youre makin me high  let it flow,you aint seen nothing yet,56,466
twisted,tilted,77,2578
cmon n ride it the train,calmness in the rain,68,4861
missing,missing,100,14241
ironic,ironic,100,1059
exhale shoop shoop,teleshopping,53,4440
follow you down  til i hear it from you,knock you down  radio edit,52,9761
sittin up in my room,asleep in my arms,59,13365
how do u want it  california love,dont want to know if you are lonely,56,757
its all coming back to me now,coming back to you,68,1195
change the world,change the world,100,17948
hey lover,hey lover,100,9224
loungin,longing,86,10717
insensitive,introspective,67,13311
be my lover,my lover,84,12365
name,name,100,947
who will save your soul,when i see you smile,65,622
where do you go,whered you go,93,15021
i cant sleep baby if i,i cant help it,61,16039
counting blue cars,counting stars,75,15846
you learn  you oughta know,i want you to know,64,6990
