Song_Name,Matched_Name,Artist,Ratio_Value,Song_List_Index,index,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,Matched_Artist
blurred lines,blurred lines,robin thicke featuring ti and pharrell,100,15884,15884,Blurred Lines,0.00373,0.862,0.608,6.14e-06,7,0.0856,-4.762,1,0.0402,120.002,4,0.836,robin thicke
do what u want,do what u want,lady gaga featuring r kelly,100,10138,10138,Do What U Want,0.326,0.789,0.8270000000000001,1e-05,9,0.0949,-4.373,1,0.0647,97.518,4,0.574,lady gaga
cant remember to forget you,i dont remember me before you,shakira featuring rihanna,75,11984,11984,I Don't Remember Me (Before You),0.104,0.614,0.614,3.59e-05,4,0.104,-7.497000000000001,0,0.0314,146.03,4,0.598,brothers osborne
amnesia,asesina,5 seconds of summer,71,14535,14535,Asesina,0.614,0.845,0.6629999999999999,0.0,10,0.114,-5.233,0,0.27,94.215,4,0.508,brytiago
no mediocre,no mediocre,ti featuring iggy azalea,100,15586,15586,No Mediocre,0.114,0.767,0.454,0.0,1,0.0813,-9.574,1,0.0475,95.479,4,0.174,ti
come with me now,come with me now,kongos,100,6277,6277,Come with Me Now,0.0311,0.654,0.726,6.35e-05,10,0.0618,-3.803,0,0.0401,103.987,4,0.728,kongos
believe me,believe me,lil wayne featuring drake,100,3037,3037,Believe Me,0.206,0.833,0.605,0.0,4,0.156,-5.042,0,0.0414,96.032,4,0.479,slang
23,123,mike will madeit featuring miley cyrus wiz khalifa and juicy j,80,4718,4718,123,0.0866,0.7070000000000001,0.6759999999999999,0.0,1,0.125,-5.5779999999999985,1,0.17600000000000002,95.027,4,0.93,jess glynne
beachin,breathin,jake owen,80,1146,1146,breathin,0.0211,0.568,0.6559999999999999,1.3699999999999998e-05,8,0.213,-5.4129999999999985,1,0.0433,100.049,4,0.364,ariana grande
white walls,winter walks,macklemore  ryan lewis featuring schoolboy q and hollis,78,11144,11144,Winter Walks,0.883,0.564,0.265,0.916,11,0.121,-12.867,1,0.0673,83.29799999999999,4,0.344,lungfulls
she looks so perfect,she looks so perfect,5 seconds of summer,100,13992,13992,She Looks So Perfect,0.000668,0.493,0.956,0.0,1,0.416,-4.221,0,0.138,160.006,4,0.47,5 seconds of summer
stay the night,stay the night,zedd featuring hayley williams,100,10924,10924,Stay the Night,0.755,0.746,0.422,0.117,9,0.104,-11.769,0,0.0352,93.002,4,0.604,the internet
partition,apparition,beyonce,84,12719,12719,Apparition,0.804,0.239,0.234,0.0133,2,0.0688,-14.436,1,0.0385,74.313,5,0.117,blue americans
studio,studio,schoolboy q featuring bj the chicago kid,100,15585,15585,Studio,0.0507,0.7090000000000001,0.589,0.0,8,0.0585,-7.776,0,0.0433,133.922,3,0.58,schoolboy q
0 to 100  the catch up,wine to the top,drake,54,1678,1678,Wine to the Top,0.421,0.815,0.8759999999999999,0.0,7,0.0728,-2.891,0,0.207,104.981,4,0.898,vybz kartel
i dont dance,one dance,lee brice,76,1680,1680,One Dance,0.00842,0.7959999999999999,0.61,0.00286,1,0.35100000000000003,-5.857,1,0.0516,103.99,4,0.391,drake
somethin bad,something big,miranda lambert and carrie underwood,80,13993,13993,Something Big,0.007790000000000002,0.6990000000000001,0.8540000000000001,0.0,7,0.138,-3.874,0,0.0427,112.027,4,0.747,shawn mendes
adore you,do you,miley cyrus,80,9423,9423,Do You,0.0664,0.6729999999999999,0.937,0.000513,4,0.194,-2.161,1,0.0283,128.129,4,0.933,spoon
uptown funk,uptown funk,mark ronson featuring bruno mars,100,8515,8515,Uptown Funk,0.00966,0.853,0.6809999999999999,5.710000000000001e-05,0,0.0233,-5.003,1,0.0888,115.004,4,0.93,mark ronson
thinking out loud,thinking out loud,ed sheeran,100,1586,1586,Thinking Out Loud,0.474,0.7809999999999999,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,4,0.591,ed sheeran
see you again,see you again,wiz khalifa featuring charlie puth,100,3126,3126,See You Again,0.371,0.5579999999999999,0.5589999999999999,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,0.62,tyler the creator
trap queen,queen,fetty wap,67,2620,2620,Queen,0.225,0.416,0.523,0.0663,1,0.18600000000000005,-5.579,1,0.0291,132.015,4,0.133,perfume genius
sugar,sugar,maroon 5,100,16099,16099,Sugar,0.0553,0.7440000000000001,0.7829999999999999,0.0,1,0.086,-7.077000000000001,1,0.0337,120.042,4,0.885,maroon 5
shut up and dance,shut up and dance,walk the moon,100,6914,6914,Shut Up and Dance,0.00701,0.578,0.866,0.0,1,0.257,-3.804,1,0.0619,128.03799999999998,4,0.619,walk the moon
blank space,black snake,taylor swift,73,14722,14722,Black Snake,0.00788,0.778,0.703,0.00325,0,0.14800000000000002,-4.453,1,0.0297,104.696,4,0.968,black joe lewis  the honeybears
watch me,with me,silento,80,2495,2495,With Me,0.0314,0.7709999999999999,0.466,0.0007610000000000001,0,0.31,-8.651,1,0.0308,110.011,4,0.245,dvsn
earned it,leave it,the weeknd,71,9006,9006,Leave It,0.0138,0.7929999999999999,0.7609999999999999,0.00368,0,0.107,-4.959,1,0.0445,145.00799999999995,4,0.275,uz
the hills,cheap thrills,the weeknd,73,4645,4645,Cheap Thrills,0.0472,0.628,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732,sia
cheerleader,chelsea dagger,omi,72,6286,6286,Chelsea Dagger,0.0439,0.51,0.818,0.0,7,0.0801,-3.205,1,0.157,154.561,4,0.574,the fratellis
cant feel my face,cant feel my face,the weeknd,100,8803,8803,Can't Feel My Face,0.112,0.705,0.769,0.0,9,0.105,-5.526,0,0.0426,107.939,4,0.59,the weeknd
love me like you do,do it like you do,ellie goulding,78,9640,9640,Do It Like You Do,0.241,0.653,0.893,0.000778,8,0.159,-7.654,0,0.0562,123.994,4,0.696,kawala
take me to church,take me to church,hozier,100,1552,1552,Take Me to Church,0.634,0.5660000000000001,0.664,0.0,4,0.116,-5.303,0,0.0464,128.945,4,0.4370000000000001,hozier
bad blood,bad boy,taylor swift featuring kendrick lamar,75,6681,6681,Bad Boy,0.191,0.7140000000000001,0.736,0.0,2,0.0553,-3.801,1,0.0457,149.985,4,0.8140000000000001,red velvet
