level_0,Unnamed: 0,Song Name,Matched Name,Ratio Value,Song List Index,index,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
142,66,wonderful world,what a wonderful world,81,2083,2083,What A Wonderful World,0.848,0.273,0.373,0.000241,5,0.188,-9.989,1,0.0341,77.59100000000002,4,0.147
143,67,nowhere to run,born to run,72,443,443,Born to Run,0.0050100000000000006,0.27,0.944,2.05e-05,4,0.116,-4.199,1,0.0975,146.347,4,0.606
144,68,heart full of soul,heart full of soul,100,295,295,Heart Full of Soul,0.229,0.494,0.6659999999999999,5.69e-05,9,0.0469,-9.743,0,0.0351,140.832,4,0.6990000000000001
145,69,love potion no 9,love potion no 9,100,2000,2000,Love Potion No. 9,0.8109999999999999,0.71,0.7120000000000001,0.0,7,0.109,-6.299,1,0.0515,128.75799999999998,4,0.911
146,70,laurie strange things happen,love is stronger than pride,58,16018,16018,Love Is Stronger Than Pride,0.7659999999999999,0.5660000000000001,0.335,0.000366,4,0.0824,-12.417,0,0.0293,87.617,4,0.317
148,71,baby dont go,baby don’t stop,81,6700,6700,Baby Don’t Stop,0.0214,0.8270000000000001,0.7390000000000001,4.13e-06,8,0.043,-6.391,1,0.0744,95.999,4,0.35200000000000004
149,72,it aint me babe,it aint my fault,71,7731,7731,It Ain't My Fault,0.0987,0.721,0.508,0.0,9,0.329,-10.564,1,0.363,176.018,4,0.557
150,73,tell her no,be here now,73,13191,13191,Be Here Now,0.203,0.557,0.703,0.000156,8,0.0927,-2.062,0,0.0277,150.037,4,0.228
151,74,i go to pieces,two princes,64,991,991,Two Princes,0.00162,0.5429999999999999,0.912,2.1e-06,7,0.0565,-10.71,1,0.0601,103.731,4,0.836
68,75,red roses for a blue lady,regresa a mi lado,57,12148,12148,Regresa a Mi Lado,0.416,0.403,0.843,5.9e-05,7,0.282,-2.9760000000000004,1,0.0435,202.004,4,0.778
153,76,dont just stand there,dont just stand there,100,7105,7105,DON'T JUST STAND THERE,0.00881,0.7509999999999999,0.5539999999999999,0.00111,7,0.0389,-11.356,1,0.16,160.077,4,0.526
154,77,the tracks of my tears,the ballad of mr steak,64,9489,9489,The Ballad of Mr. Steak,0.0199,0.605,0.74,1.02e-06,0,0.129,-5.76,1,0.0703,130.075,4,0.47
155,78,too many rivers,too many colors,73,12282,12282,Too Many Colors,0.0335,0.789,0.688,0.0633,1,0.0803,-7.029,1,0.049,122.957,4,0.514
157,79,i like it like that,i like it like that,100,3924,3924,I Like It Like That,0.68,0.596,0.7,0.000277,5,0.623,-4.9110000000000005,0,0.0323,133.45,4,0.926
158,80,little things,little lies,75,11015,11015,Little Lies,0.593,0.34,0.294,0.68,2,0.0944,-15.989,1,0.0426,83.93799999999997,4,0.136
161,81,true love ways,true love,78,6930,6930,True Love,0.003820000000000001,0.482,0.574,0.08,11,0.123,-7.962999999999999,1,0.028,119.994,4,0.184
164,82,its the same old song,wait the whisper song,67,7755,7755,Wait (The Whisper Song),0.00112,0.933,0.513,0.00248,7,0.107,-13.203,1,0.34700000000000003,102.017,4,0.595
167,83,youve got your troubles,youve got a friend,63,358,358,You've Got A Friend,0.6809999999999999,0.695,0.282,0.0267,9,0.0767,-15.359000000000002,1,0.0295,91.681,4,0.445
169,84,hold what youve got,what you do,67,6165,6165,What You Do,0.0757,0.64,0.8959999999999999,0.000149,0,0.34600000000000003,-3.4760000000000004,0,0.0778,127.858,4,0.213
172,85,we gotta get out of this place,watch out for this bumaye,62,12204,12204,Watch Out For This (Bumaye),0.0196,0.8190000000000001,0.759,6.53e-06,10,0.0613,-4.115,0,0.147,108.026,4,0.88
173,86,laugh laugh,la lucha,63,10506,10506,La Lucha,0.00193,0.693,0.7829999999999999,0.000433,6,0.147,-7.867000000000001,0,0.0386,100.01,4,0.918
174,87,the last time,one last time,85,6995,6995,One Last Time,0.093,0.628,0.593,1.65e-06,8,0.096,-5.0360000000000005,1,0.0323,125.026,4,0.104
178,88,do you believe in magic,do you believe in magic,100,296,296,Do You Believe in Magic?,0.218,0.552,0.742,0.0,0,0.339,-7.962999999999999,1,0.0454,138.591,4,0.7509999999999999
